District_name,Transaction_count,Transaction_amount,Quater,Year,State
chittoor,20501863,42811566246.16463,3,2020,andhra-pradesh
krishna,19110457,44788458672.084435,3,2020,andhra-pradesh
east godavari,17972431,39300043804.75851,3,2020,andhra-pradesh
guntur,17601395,42531195809.75448,3,2020,andhra-pradesh
spsr nellore,16468209,39128324534.03021,3,2020,andhra-pradesh
anantapur,14447683,34102037972.657852,3,2020,andhra-pradesh
kurnool,13243292,32529351107.17173,3,2020,andhra-pradesh
prakasam,12266310,31221704852.44969,3,2020,andhra-pradesh
ysr,11934653,32037007334.12973,3,2020,andhra-pradesh
visakhapatnam,46551467,91879823025.40399,4,2020,andhra-pradesh
chittoor,29590411,61505711149.79541,4,2020,andhra-pradesh
krishna,27981050,64461504667.60722,4,2020,andhra-pradesh
guntur,26136538,60641872021.25432,4,2020,andhra-pradesh
east godavari,25989490,58732615663.11841,4,2020,andhra-pradesh
anantapur,20996384,49732610814.26222,4,2020,andhra-pradesh
spsr nellore,20934374,49115443663.37911,4,2020,andhra-pradesh
kurnool,18737323,44718203115.22612,4,2020,andhra-pradesh
prakasam,16176867,41852443493.515396,4,2020,andhra-pradesh
ysr,15676878,42572974713.440254,4,2020,andhra-pradesh
visakhapatnam,48248923,95308386037.84721,1,2021,andhra-pradesh
krishna,29717175,69715406644.53484,1,2021,andhra-pradesh
chittoor,29342609,60947491846.66088,1,2021,andhra-pradesh
guntur,27445045,64207987853.108406,1,2021,andhra-pradesh
east godavari,26190701,60027984987.96951,1,2021,andhra-pradesh
spsr nellore,22541428,52210333201.53073,1,2021,andhra-pradesh
anantapur,20102957,48353870395.01808,1,2021,andhra-pradesh
kurnool,17918524,44941629659.56964,1,2021,andhra-pradesh
west godavari,16015685,42124030669.36127,1,2021,andhra-pradesh
ysr,15374473,42570919448.50447,1,2021,andhra-pradesh
visakhapatnam,54390299,114439012713.35336,2,2021,andhra-pradesh
krishna,36370960,90021923049.96454,2,2021,andhra-pradesh
chittoor,34344902,73654690122.43158,2,2021,andhra-pradesh
guntur,32968819,82356914463.83287,2,2021,andhra-pradesh
east godavari,31717908,74604325863.66068,2,2021,andhra-pradesh
spsr nellore,30290406,72283071757.09679,2,2021,andhra-pradesh
anantapur,25123346,60987487571.27992,2,2021,andhra-pradesh
kurnool,21972396,56659287474.995804,2,2021,andhra-pradesh
west godavari,20950964,57233116236.18796,2,2021,andhra-pradesh
prakasam,19944047,54535328043.04135,2,2021,andhra-pradesh
visakhapatnam,69220981,136945652159.26517,3,2021,andhra-pradesh
krishna,44828275,104417897558.58972,3,2021,andhra-pradesh
chittoor,42628568,89371931753.04831,3,2021,andhra-pradesh
guntur,41675093,96525353090.12305,3,2021,andhra-pradesh
east godavari,39572714,89380370072.7078,3,2021,andhra-pradesh
spsr nellore,34411958,77839676988.30869,3,2021,andhra-pradesh
